,name,status
0,ナエトル,○
1,ハヤシガメ,○
2,ドダイトス,○
3,ヒコザル,○
4,モウカザル,None
5,ゴウカザル,None
6,ポッチャマ,None
7,ポッタイシ,None
8,エンペルト,None
9,ムックル,None
10,ムクバード,○
11,ムクホーク,○
12,ビッパ,○
13,ビーダル,○
14,コロボーシ,○
15,コロトック,None
16,コリンク,None
17,ルクシオ,○
18,レントラー,○
19,ケーシィ,○
20,ユンゲラー,○
21,フーディン,None
22,コイキング,None
23,ギャラドス,None
24,スボミー,None
25,ロゼリア,○
26,ロズレイド,None
27,ズバット,None
28,ゴルバット,○
29,クロバット,○
30,イシツブテ,None
31,ゴローン,○
32,ゴローニャ,○
33,イワーク,None
34,ハガネール,None
35,ズガイドス,None
36,ラムパルド,None
37,タテトプス,None
38,トリデプス,None
39,ワンリキー,None
40,ゴーリキー,○
41,カイリキー,○
42,コダック,None
43,ゴルダック,None
44,ミノムッチ,None
45,ミノマダム,None
46,ガーメイル,None
47,ケムッソ,None
48,カラサリス,None
49,アゲハント,None
50,マユルド,None
51,ドクケイル,None
52,ミツハニー,None
53,ビークイン,None
54,パチリス,None
55,ブイゼル,○
56,フローゼル,None
57,チェリンボ,None
58,チェリム,None
59,カラナクシ,None
60,トリトドン,None
61,ヘラクロス,None
62,エイパム,None
63,エテボース,None
64,フワンテ,None
65,フワライド,○
66,ミミロル,None
67,ミミロップ,None
68,ゴース,None
69,ゴースト,○
70,ゲンガー,None
71,ムウマ,None
72,ムウマージ,None
73,ヤミカラス,None
74,ドンカラス,None
75,ニャルマー,None
76,ブニャット,None
77,トサキント,None
78,アズマオウ,None
79,ドジョッチ,None
80,ナマズン,None
81,リーシャン,None
82,チリーン,None
83,スカンプー,None
84,スカタンク,None
85,アサナン,None
86,チャーレム,○
87,ドーミラー,None
88,ドータクン,None
89,ポニータ,None
90,ギャロップ,○
91,ウソハチ,○
92,ウソッキー,None
93,マネネ,None
94,バリヤード,None
95,ピンプク,None
96,ラッキー,None
97,ハピナス,None
98,ピィ,None
99,ピッピ,○
100,ピクシー,None
101,ペラップ,None
102,ピチュー,None
103,ピカチュウ,None
104,ライチュウ,None
105,ホーホー,None
106,ヨルノズク,○
107,ミカルゲ,None
108,フカマル,None
109,ガバイト,None
110,ガブリアス,None
111,ゴンベ,None
112,カビゴン,None
113,アンノーン,None
114,リオル,○
115,ルカリオ,None
116,ウパー,None
117,ヌオー,○
118,キャモメ,None
119,ペリッパー,None
120,キリンリキ,○
121,ヒポポタス,None
122,カバルドン,None
123,ルリリ,None
124,マリル,None
125,マリルリ,○
126,スコルピ,○
127,ドラピオン,○
128,グレッグル,None
129,ドクロッグ,None
130,マスキッパ,None
131,テッポウオ,None
132,オクタン,None
133,ケイコウオ,None
134,ネオラント,None
135,メノクラゲ,None
136,ドククラゲ,○
137,ヒンバス,None
138,ミロカロス,None
139,タマンタ,None
140,マンタイン,None
141,ユキカブリ,None
142,ユキノオー,None
143,ニューラ,None
144,マニューラ,○
145,ユクシー,○
146,エムリット,○
147,アグノム,○
148,ディアルガ,○
149,パルキア,○
