,name,status
0,フシギダネ,None
1,フシギソウ,None
2,フシギバナ,None
3,ヒトカゲ,None
4,リザード,None
5,リザードン,None
6,ゼニガメ,○
7,カメール,None
8,カメックス,None
9,キャタピー,None
10,トランセル,None
11,バタフリー,None
12,ビードル,None
13,コクーン,None
14,スピアー,None
15,ポッポ,None
16,ピジョン,None
17,ピジョット,None
18,コラッタ,None
19,ラッタ,○
20,オニスズメ,○
21,オニドリル,None
22,アーボ,None
23,アーボック,None
24,ピカチュウ,None
25,ライチュウ,None
26,サンド,None
27,サンドパン,None
28,ニドラン♀,None
29,ニドリーナ,None
30,ニドクイン,None
31,ニドラン♂,None
32,ニドリーノ,None
33,ニドキング,None
34,ピッピ,None
35,ピクシー,None
36,ロコン,None
37,キュウコン,None
38,プリン,None
39,プクリン,None
40,ズバット,None
41,ゴルバット,○
42,ナゾノクサ,○
43,クサイハナ,None
44,ラフレシア,None
45,パラス,None
46,パラセクト,None
47,コンパン,None
48,モルフォン,None
49,ディグダ,None
50,ダグトリオ,None
51,ニャース,None
52,ペルシアン,None
53,コダック,None
54,ゴルダック,None
55,マンキー,None
56,オコリザル,None
57,ガーディ,None
58,ウインディ,None
59,ニョロモ,None
60,ニョロゾ,None
61,ニョロボン,None
62,ケーシィ,None
63,ユンゲラー,○
64,フーディン,None
65,ワンリキー,None
66,ゴーリキー,○
67,カイリキー,○
68,マダツボミ,None
69,ウツドン,None
70,ウツボット,None
71,メノクラゲ,None
72,ドククラゲ,○
73,イシツブテ,None
74,ゴローン,○
75,ゴローニャ,○
76,ポニータ,None
77,ギャロップ,○
78,ヤドン,○
79,ヤドラン,None
80,コイル,None
81,レアコイル,○
82,カモネギ,None
83,ドードー,None
84,ドードリオ,None
85,パウワウ,None
86,ジュゴン,None
87,ベトベター,None
88,ベトベトン,None
89,シェルダー,None
90,パルシェン,None
91,ゴース,None
92,ゴースト,○
93,ゲンガー,None
94,イワーク,None
95,スリープ,None
96,スリーパー,None
97,クラブ,None
98,キングラー,○
99,ビリリダマ,None
100,マルマイン,○
101,タマタマ,None
102,ナッシー,None
103,カラカラ,None
104,ガラガラ,○
105,サワムラー,None
106,エビワラー,None
107,ベロリンガ,None
108,ドガース,None
109,マタドガス,None
110,サイホーン,None
111,サイドン,○
112,ラッキー,○
113,モンジャラ,None
114,ガルーラ,None
115,タッツー,None
116,シードラ,None
117,トサキント,None
118,アズマオウ,None
119,ヒトデマン,None
120,スターミー,None
121,バリヤード,None
122,ストライク,None
123,ルージュラ,None
124,エレブー,None
125,ブーバー,None
126,カイロス,None
127,ケンタロス,None
128,コイキング,None
129,ギャラドス,None
130,ラプラス,None
131,メタモン,None
132,イーブイ,None
133,シャワーズ,○
134,サンダース,None
